cycle,set,way,pc_sig,recency,hits,prefetch,dirty,reused,access_type,hit
1308,68,0,0,0,0,0,0,0,4,0
1308,17,0,1137,0,1,0,0,1,0,1
1308,4,0,0,0,0,0,0,0,4,0
1309,13,0,2864,0,9,0,0,1,0,1
1310,44,0,2864,0,1,0,0,1,0,1
1311,13,0,2944,0,10,0,0,1,0,1
1312,1298,0,1153,0,0,0,0,0,0,0
1313,274,0,1153,0,0,0,0,0,0,0
1313,18,0,1153,0,0,0,0,0,0,0
1313,13,0,3097,0,11,0,0,1,0,1
1313,1197,0,2883,0,0,0,0,0,0,0
1314,173,0,2883,0,0,0,0,0,0,0
1314,45,0,2883,0,0,0,0,0,0,0
1314,1198,0,2944,0,0,0,0,0,0,0
1315,174,0,2944,0,0,0,0,0,0,0
1315,46,0,2944,0,0,0,0,0,0,0
1315,13,0,3202,0,12,0,0,1,0,1
1317,1199,0,3008,0,0,0,0,0,0,0
1318,175,0,3008,0,0,0,0,0,0,0
1318,47,0,3008,0,0,0,0,0,0,0
1318,1200,0,3097,0,0,0,0,0,0,0
1319,176,0,3097,0,0,0,0,0,0,0
1319,48,0,3097,0,0,0,0,0,0,0
1319,1201,0,3153,0,0,0,0,0,0,0
1320,177,0,3153,0,0,0,0,0,0,0
1320,49,0,3153,0,0,0,0,0,0,0
1320,1202,0,3202,0,0,0,0,0,0,0
1321,178,0,3202,0,0,0,0,0,0,0
1321,50,0,3202,0,0,0,0,0,0,0
1462,85,0,0,0,0,0,0,0,4,0
1463,85,0,0,0,0,0,0,0,4,0
1463,21,0,0,0,0,0,0,0,4,0
1509,97,0,288,0,0,0,0,0,0,0
1509,1,0,332,0,0,0,0,0,0,0
1512,1220,0,288,0,0,0,0,0,0,0
1513,196,0,288,0,0,0,0,0,0,0
1513,4,0,288,0,0,0,0,0,0,0
1514,1221,0,322,0,0,0,0,0,0,0
1515,197,0,322,0,0,0,0,0,0,0
1515,5,0,332,0,0,0,0,0,0,0
1516,13,0,3231,0,13,0,0,1,0,1
1517,50,0,3231,0,1,0,0,1,0,1
1517,13,0,3267,0,14,0,0,1,0,1
1518,13,0,3216,0,15,0,0,1,0,1
1519,50,0,3216,0,2,0,0,1,0,1
1519,13,0,3267,0,16,0,0,1,0,1
1520,13,0,3216,0,17,0,0,1,0,1
1521,50,0,3216,0,3,0,0,1,0,1
1521,13,0,3267,0,18,0,0,1,0,1
1522,13,0,3216,0,19,0,0,1,0,1
1522,1203,0,3267,0,0,0,0,0,0,0
1523,179,0,3267,0,0,0,0,0,0,0
1523,51,0,3267,0,0,0,0,0,0,0
1523,50,0,3216,0,4,0,0,1,0,1
1523,13,0,3267,0,20,0,0,1,0,1
1524,51,0,3267,0,1,0,0,1,0,1
1667,1282,0,0,0,0,0,0,0,4,0
1668,258,0,0,0,0,0,0,0,4,0
1668,2,0,0,0,0,0,0,0,4,0
1668,770,0,0,0,0,0,0,0,4,0
1669,770,0,0,0,0,0,0,0,4,0
1669,2,1,0,0,0,0,0,0,4,0
1869,19,0,1528,0,0,0,0,0,0,0
1869,3,0,1484,0,0,0,0,0,0,0
1870,18,0,1533,0,0,0,0,0,0,0
1870,2,0,1492,0,0,0,0,0,0,0
1872,140,0,1528,0,0,0,0,0,0,0
1873,140,0,1528,0,0,0,0,0,0,0
1873,12,0,1542,0,0,0,0,0,0,0
